albedo,totm,def,geo,crit,cr cd def,atk
albedo,husk,def,geo,crit,cr cd def,atk
raiden,tom esf,er atk,electro atk,crit,cr cd atk er,
xingqiu,no esf,er atk,hydro,crit,cr cd atk er,
bennett,ins no,er hp,hp,heal,hp er em*,hpf cr cd
xiangling,esf,er em atk,pyro,crit,cr cd er em atk,
shenhe,no,atk er,atk cryo,atk crit,cr cd atk er,
ayaka,esf,atk er,cryo,crit,cr cd atk er,
rosaria,no lw esf,em atk,cryo,crit,cr cd er em atk,
hu tao,sr cw,em hp,pyro,crit,cr cd em hp,atk
kazuha,vv,em er,em,em,em er cr,cd atk
ganyu,bs,atk,cryo,cd,cr cd atk er,
ayaka,bs,atk,cryo,cd atk,cr cd atk er,
fischl,tom 2atk 2tf,atk,electro,crit,cr cd atk er,
sucrose,vv,em er,em,em,em er cr,cd atk
ayato,hod,atk,hydro,crit,cr cd atk er,
shenhe,2atk,atk er,atk cryo,atk crit,cr cd atk er,
kokomi,tom ohc,hp er,hp hydro,hp heal,hp er atk,hpf
xiao,vh,atk er,atk anemo,atk crit,cr cd atk er,
shenhe,bs,atk er,atk cryo,atk crit,cr cd atk er,
bennett,cw,atk,pyro,crit,cr cd atk er em,
